user_idx,window_number,method,family,historical_weight,shift_signal,historical_loss,online_loss,method_loss,historical_coverage,online_coverage,expected_coverage
802,3,StaticMixture,static,0.25,0.5115057105239231,0.952,0.46399999999999997,0.586,0.048,0.536,0.41400000000000003
802,3,Hedge,hedge,0.30661340794350433,0.5115057105239231,0.952,0.46399999999999997,0.6136273430764301,0.048,0.536,0.3863726569235699
802,3,ShiftAwareAdaptiveTrust,shift,0.466575141450538,0.5115057105239231,0.952,0.46399999999999997,0.6916886690278625,0.048,0.536,0.3083113309721375
802,4,PredictionOnly,prediction,1.0,0.45948062300176806,0.876,0.33999999999999997,0.876,0.124,0.66,0.124
802,4,OnlineOnly,online,0.0,0.45948062300176806,0.876,0.33999999999999997,0.33999999999999997,0.124,0.66,0.66
802,4,StaticMixture,static,0.25,0.45948062300176806,0.876,0.33999999999999997,0.474,0.124,0.66,0.526
802,4,Hedge,hedge,0.14282769263958675,0.45948062300176806,0.876,0.33999999999999997,0.41655564325481853,0.124,0.66,0.5834443567451815
802,4,ShiftAwareAdaptiveTrust,shift,0.44485672801698684,0.45948062300176806,0.876,0.33999999999999997,0.5784432062171049,0.124,0.66,0.4215567937828951
802,5,PredictionOnly,prediction,1.0,0.4471789220054043,0.8200000000000001,0.388,0.8200000000000001,0.18,0.612,0.17999999999999994
802,5,OnlineOnly,online,0.0,0.4471789220054043,0.8200000000000001,0.388,0.388,0.18,0.612,0.612
802,5,StaticMixture,static,0.25,0.4471789220054043,0.8200000000000001,0.388,0.49600000000000005,0.18,0.612,0.504
802,5,Hedge,hedge,0.05396213488644561,0.4471789220054043,0.8200000000000001,0.388,0.41131164227094447,0.18,0.612,0.5886883577290556
802,5,ShiftAwareAdaptiveTrust,shift,0.40984908026219496,0.4471789220054043,0.8200000000000001,0.388,0.5650548026732682,0.18,0.612,0.43494519732673176
802,6,PredictionOnly,prediction,1.0,0.3886537123995772,0.832,0.628,0.832,0.168,0.372,0.16800000000000004
802,6,OnlineOnly,online,0.0,0.3886537123995772,0.832,0.628,0.628,0.168,0.372,0.372
