user_idx,n_windows,spearman_rho,spearman_p_value
681,6,-0.08571428571428573,0.8717434402332361
682,7,-0.3783937343321348,0.4026022019217552
683,4,-1.0,0.0
684,35,-0.6712512920692344,1.0160145091611036e-05
685,20,0.19849054446144657,0.40151739401752384
687,5,-0.30779350562554625,0.614384002810333
688,3,-0.5,0.6666666666666666
689,10,0.793940116816696,0.006099843437230116
690,3,0.5,0.6666666666666666
693,12,0.05954474980875943,0.8541546246233473
696,15,-0.05724517209881224,0.8394162853019237
697,16,-0.19022711924354915,0.48039322666329776
701,3,1.0,0.0
702,14,-0.20484631189854344,0.4823610538502715
703,11,-0.8246035061165515,0.0017894598527492048
704,13,-0.584024254662943,0.03610127251390462
705,9,-0.4033755872716886,0.28167588643557034
707,13,-0.4022788376241216,0.17297471879183995
708,3,1.0,0.0
712,6,-0.48571428571428577,0.3287230320699708
715,5,-0.09999999999999999,0.8728885715695384
718,7,0.0,1.0
719,3,-0.5,0.6666666666666666
720,4,0.6000000000000001,0.4
722,19,-0.6542923444351292,0.0023715184965430046
725,8,-0.012123216124221799,0.9772711968911272
726,17,-0.2018477805644745,0.43721987524087036
728,4,-0.8944271909999159,0.10557280900008416
729,4,1.0,0.0
730,7,-0.9369749612033814,0.0018510301964418932
731,3,-0.5,0.6666666666666666
735,5,-0.19999999999999998,0.7470600781046621
736,15,-0.5824410172202813,0.022707410174642534
737,4,0.2581988897471611,0.741801110252839
741,5,0.0,1.0
742,23,-0.29635409004231683,0.16972639067105005
743,7,-0.16366341767699433,0.7258624740766529
745,8,-0.6428571428571429,0.08555889101267325
746,13,-0.47580667545622507,0.10028439562199343
747,8,-0.08383383833392813,0.8435464923328299
749,28,-0.34064349634595315,0.07609291268592455
754,14,0.24008868813915307,0.40836647995884273
755,8,-0.09523809523809526,0.8225054302036114
756,18,,
757,16,-0.5701106417098787,0.02112282114413641
758,27,-0.1297908213746964,0.5187724917081962
761,21,0.11410388046097217,0.6223763960440071
762,6,-0.2732295333235123,0.6003545904291115
763,19,-0.3764305099675526,0.11217201077511503
764,18,-0.5243030862380949,0.02550674973446553
765,62,-0.2763963703439711,0.029659177600201758
766,17,-0.41510650669044596,0.09753698419574558
767,33,-0.38222358124181605,0.02815243906041097
768,10,-0.6383008208640678,0.04702445252859806
769,4,-0.7999999999999999,0.2000000000000001
772,19,-0.5393065726059413,0.017175083543363952
774,54,-0.3449774251538736,0.010628150048422715
776,23,-0.06742600620557683,0.7598491677452185
777,8,-0.3952166664313755,0.3325171079338275
778,11,-0.8165481258020508,0.002163274512363221
780,5,0.0,1.0
781,10,-0.42073952899018185,0.2259819755393893
782,11,,
783,13,-0.430842413911613,0.14162694938413378
784,9,-0.6950150912113306,0.03768829245270158
785,5,,
788,10,,
789,8,-0.4520227726316985,0.2608297757021363
792,12,0.22575833709420015,0.4804873174250535
793,4,-0.632455532033676,0.367544467966324
797,8,0.11415291512216423,0.7878154076052025
798,7,-0.9642857142857145,0.00045414916919416935
801,3,-1.0,0.0
802,18,-0.8596491228070176,4.827997425048468e-06
803,14,0.004449721317118612,0.9879548628343655
804,4,-0.9486832980505139,0.05131670194948613
805,4,-0.632455532033676,0.367544467966324
806,36,0.02536862186294846,0.8832398570877855
808,15,-0.6264832024943037,0.012455184067755169
809,6,0.49280538030458115,0.32063258286582746
810,24,-0.08197111620760959,0.7033671452537129
811,4,1.0,0.0
812,3,0.5,0.6666666666666666
813,3,0.5,0.6666666666666666
814,13,-0.36038581349081233,0.22641703363057442
815,15,-0.5324485556061431,0.041020513955492666
816,19,-0.6213252024200617,0.00451831220557944
817,10,-0.3025210128521264,0.3955461179844164
819,4,-0.39999999999999997,0.6000000000000001
820,7,-0.11118739749916519,0.8124070154613051
821,11,-0.17529196424044294,0.6061804724344514
823,5,-0.44721359549995787,0.45018485575210104
827,6,-0.028988551782622423,0.9565293523898406
831,60,-0.27392365250920025,0.03418683468092095
832,9,0.15,0.7000942309691418
835,3,-0.5,0.6666666666666666
837,6,,
838,3,0.5,0.6666666666666666
839,13,0.05248698891043384,0.8647809012079593
840,21,-0.7924390028482722,1.8489975037571928e-05
841,3,-0.5,0.6666666666666666
843,9,-0.59336610396393,0.09212027344886972
844,9,0.26051340011296553,0.49839229689525505
847,10,-0.2006088294144213,0.5784061446498447
850,3,-0.5,0.6666666666666666
851,24,-0.307696539696167,0.14355258615045632
853,6,0.13093073414159545,0.8047261622231062
854,20,-0.17162223961847456,0.4693770142216968
855,3,-1.0,0.0
856,3,-1.0,0.0
857,4,,
858,25,,
859,6,-0.5246313898711126,0.28525218741845076
860,4,-0.632455532033676,0.367544467966324
861,3,-0.8660254037844387,0.33333333333333326
862,9,0.6386780131801736,0.06410620825872815
863,5,0.6668859288553501,0.21889398131323157
864,9,-0.018257418583505537,0.9628166223153186
865,3,-0.5,0.6666666666666666
866,4,0.39999999999999997,0.6000000000000001
867,17,-0.2039318194861643,0.43240044827550345
869,12,-0.5484928792430105,0.06480818189863921
870,3,-0.5,0.6666666666666666
872,7,-0.4642857142857144,0.29393410760025196
873,12,0.015630009197970057,0.9615480505026317
876,22,-0.252191374402606,0.25752655696924087
877,15,-0.5454724435510747,0.03545189731805939
879,3,0.0,1.0
880,4,-0.19999999999999998,0.8
881,14,-0.049564763049080175,0.8663743860090324
882,6,0.3188740696088466,0.537900560470205
885,3,0.5,0.6666666666666666
